Paese,dato,date,year_week,Ospedali/TI,source,url
Austria,Ospedali,10/18/2020,2020-W42,607,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/19/2020,2020-W43,654,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/20/2020,2020-W43,744,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/21/2020,2020-W43,813,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/22/2020,2020-W43,841,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/23/2020,2020-W43,900,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/24/2020,2020-W43,1002,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/25/2020,2020-W43,1051,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/26/2020,2020-W44,1142,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/27/2020,2020-W44,1197,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/28/2020,2020-W44,1345,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/29/2020,2020-W44,1444,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/30/2020,2020-W44,1540,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,10/31/2020,2020-W44,1602,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/1/2020,2020-W44,1657,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/2/2020,2020-W45,1825,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/3/2020,2020-W45,2065,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/4/2020,2020-W45,2201,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/5/2020,2020-W45,2330,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/6/2020,2020-W45,2504,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/7/2020,2020-W45,2574,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/8/2020,2020-W45,2533,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/9/2020,2020-W46,2755,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/10/2020,2020-W46,3054,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/11/2020,2020-W46,3183,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/12/2020,2020-W46,3265,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/13/2020,2020-W46,3355,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/14/2020,2020-W46,3425,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/15/2020,2020-W46,3579,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/16/2020,2020-W47,3685,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/17/2020,2020-W47,3867,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/18/2020,2020-W47,3910,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/19/2020,2020-W47,3931,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,11/20/2020,2020-W47,3942,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
